lag_time,autocorrelation
9.000000000000000000e+02,-7.889988269810510602e-02
9.200000000000000000e+02,-7.727390843760387207e-02
9.400000000000000000e+02,-6.665101270150153301e-02
9.600000000000000000e+02,-7.661862181542741790e-02
9.800000000000000000e+02,-9.030852392294465292e-02
1.000000000000000000e+03,-6.145927745423566263e-02
1.020000000000000000e+03,-4.667994290276428204e-02
1.040000000000000000e+03,-2.644407453592144755e-02
1.060000000000000000e+03,-5.706818920916057608e-03
1.080000000000000000e+03,2.833515192032920460e-02
1.100000000000000000e+03,3.182669057407593038e-02
1.120000000000000000e+03,7.271486102483876168e-03
1.140000000000000000e+03,8.722142444291857213e-03
1.160000000000000000e+03,4.058165319625618717e-02
1.180000000000000000e+03,6.219598462944405520e-02
1.200000000000000000e+03,3.805414661878615129e-02
1.220000000000000000e+03,4.242189235855510498e-02
1.240000000000000000e+03,4.145040664042962814e-02
1.260000000000000000e+03,6.285955356157486851e-02
1.280000000000000000e+03,1.413543599152097471e-02
1.300000000000000000e+03,2.137324367040079054e-02
1.320000000000000000e+03,2.180579846948004982e-02
1.340000000000000000e+03,-1.148645139000101581e-02
1.360000000000000000e+03,-3.218240737485271452e-02
1.380000000000000000e+03,-1.114497615526273237e-02
1.400000000000000000e+03,-2.139514343073799230e-02
1.420000000000000000e+03,-1.845642193302320447e-02
1.440000000000000000e+03,1.640481199318130634e-02
1.460000000000000000e+03,2.083889294607735310e-02
1.480000000000000000e+03,3.968338949513720848e-02
1.500000000000000000e+03,3.854768162034425544e-02
1.520000000000000000e+03,3.791495658308067368e-02
1.540000000000000000e+03,4.320254101766370786e-02
1.560000000000000000e+03,3.742483190712937030e-02
1.580000000000000000e+03,1.873238980537936943e-02
1.600000000000000000e+03,2.838620103105616091e-03
1.620000000000000000e+03,-3.312011409563168224e-03
1.640000000000000000e+03,-2.894955497947680409e-02
1.660000000000000000e+03,-5.816876216177428727e-02
1.680000000000000000e+03,-6.755593281013218265e-02
1.700000000000000000e+03,-7.105666460637231896e-02
1.720000000000000000e+03,-1.078115277968926672e-01
1.740000000000000000e+03,-1.044265834521367758e-01
1.760000000000000000e+03,-9.579747309243349940e-02
1.780000000000000000e+03,-8.094814404063205293e-02
1.800000000000000000e+03,-7.679811403701942985e-02
1.820000000000000000e+03,-7.047027807140650302e-02
1.840000000000000000e+03,-8.155245033168023738e-02
1.860000000000000000e+03,-6.443765103968773778e-02
1.880000000000000000e+03,-4.920034088052272631e-02
1.900000000000000000e+03,-4.967919161314020282e-02
1.920000000000000000e+03,-3.596663800829896784e-02
1.940000000000000000e+03,-9.477399412572817122e-03
1.960000000000000000e+03,4.529518315574193252e-04
1.980000000000000000e+03,-2.096403131893572955e-02
2.000000000000000000e+03,1.870756641717455978e-03
2.020000000000000000e+03,1.538883704874631671e-02
2.040000000000000000e+03,3.679053419065371217e-03
2.060000000000000000e+03,-2.336628780268345043e-02
2.080000000000000000e+03,-3.737895270043393309e-02
2.100000000000000000e+03,-3.161624734687021321e-02
2.120000000000000000e+03,-3.812210780803111654e-02
2.140000000000000000e+03,-4.143531400581765278e-02
2.160000000000000000e+03,-3.617413671222351190e-02
2.180000000000000000e+03,-1.933499504042720044e-02
2.200000000000000000e+03,-1.256266709598176205e-02
2.220000000000000000e+03,-2.018205259159448067e-02
2.240000000000000000e+03,-2.550050827914644366e-02
2.260000000000000000e+03,9.223938049361033592e-03
2.280000000000000000e+03,-1.071783251747632573e-02
2.300000000000000000e+03,-1.854942422782082656e-02
2.320000000000000000e+03,-1.568041958753631823e-04
2.340000000000000000e+03,1.316754266126756757e-02
2.360000000000000000e+03,4.186403171247720973e-04
2.380000000000000000e+03,3.056963981825322647e-03
2.400000000000000000e+03,9.532230919217912768e-03
2.420000000000000000e+03,1.174076944355668776e-02
2.440000000000000000e+03,5.649899522055987743e-03
2.460000000000000000e+03,-2.062812531339363459e-02
2.480000000000000000e+03,-1.125717465482989343e-02
2.500000000000000000e+03,-1.120499991015142666e-02
2.520000000000000000e+03,-1.505594456169571937e-02
2.540000000000000000e+03,-1.484139901629122349e-02
2.560000000000000000e+03,-2.432786548848714370e-02
2.580000000000000000e+03,-2.120090973274501786e-02
2.600000000000000000e+03,-3.247790111854498285e-02
2.620000000000000000e+03,-1.318785094700444978e-02
2.640000000000000000e+03,1.185275335219461608e-02
2.660000000000000000e+03,2.430774247270885841e-02
2.680000000000000000e+03,5.818283297987554385e-03
2.700000000000000000e+03,3.546774344566201720e-02
2.720000000000000000e+03,4.550355432368715508e-02
2.740000000000000000e+03,2.881348677140294773e-02
2.760000000000000000e+03,1.790010646510268796e-02
2.780000000000000000e+03,1.385471741113594550e-02
2.800000000000000000e+03,2.226070052091751617e-03
2.820000000000000000e+03,-5.104815918119466264e-03
2.840000000000000000e+03,-1.490181360611882687e-02
2.860000000000000000e+03,-5.866288372728064443e-03
2.880000000000000000e+03,2.406835502546224650e-03
2.900000000000000000e+03,-9.066735455754293058e-03
2.920000000000000000e+03,-1.548175991368877687e-02
2.940000000000000000e+03,-8.722276323699700018e-03
2.960000000000000000e+03,3.860407988475884639e-03
2.980000000000000000e+03,-6.585034407061441872e-03
3.000000000000000000e+03,-2.396549638350293707e-02
3.020000000000000000e+03,-2.611160883706009281e-02
3.040000000000000000e+03,-7.476132998638287432e-03
3.060000000000000000e+03,-1.249555193614720373e-02
3.080000000000000000e+03,-1.226171822024907723e-02
3.100000000000000000e+03,-1.139096241395098387e-02
3.120000000000000000e+03,-1.697104825874225231e-02
3.140000000000000000e+03,-3.290630970493207963e-02
3.160000000000000000e+03,-2.928765830905957421e-02
3.180000000000000000e+03,-3.821369632434291896e-02
3.200000000000000000e+03,-2.934466699530818151e-02
3.220000000000000000e+03,-4.083624667250655010e-02
3.240000000000000000e+03,-4.852310627778900348e-02
3.260000000000000000e+03,-4.546857585422575676e-02
3.280000000000000000e+03,-2.606417210977806168e-02
3.300000000000000000e+03,-3.208054601748323159e-02
3.320000000000000000e+03,-2.174758153386514847e-02
3.340000000000000000e+03,-1.410177556674289609e-02
3.360000000000000000e+03,5.697382990461193064e-03
3.380000000000000000e+03,-2.446463603982249047e-03
