PC2,FreeEnergy_kJmol
-2.7792417,4.942165669980646
-2.6286651,4.932579524258984
-2.4780885,4.914285429707864
-2.3275119,4.888675203521445
-2.1769353000000002,4.85796911863164
-2.0263587000000003,4.82622922747416
-1.8757821000000001,4.799354405237767
-1.7252055000000002,4.78211014421922
-1.5746289000000002,4.773851862138373
-1.4240523000000003,4.767884474695164
-1.2734757000000003,4.756576841658995
-1.1228991000000001,4.737956813904341
-0.9723225000000002,4.717332217087947
-0.8217459000000003,4.702388335548897
-0.6711693000000003,4.696831787497927
-0.5205927000000004,4.698218108864218
-0.3700161000000004,4.7006673640717445
-0.21943950000000045,4.6997604391981564
-0.0688629000000005,4.696636983406688
0.08171369999999945,4.697763683318797
0.2322902999999994,4.708920830204435
0.38286689999999934,4.729664900651731
0.5334434999999993,4.755521696867881
0.6840200999999995,4.78407576911493
0.8345966999999996,4.815752755102146
0.9851732999999996,4.84898902119138
1.1357498999999995,4.8779853517461635
1.2863264999999995,4.897099732037471
1.4369030999999994,4.906081484357621
1.5874796999999994,4.909649618765112
1.7380562999999993,4.91293733250602
1.8886328999999993,4.918183389379851
2.0392094999999992,4.924543168225334
2.189786099999999,4.929495082960885
2.340362699999999,4.930590078889847
2.490939299999999,4.9269910507785655
2.641515899999999,4.920024604512527
2.792092499999999,4.912452944496693
2.942669099999999,4.90729554102183
3.093245699999999,4.907008658124699
3.243822299999999,4.912881419646012
3.3943988999999988,4.924540313913295
3.5449754999999987,4.939860914968185
3.6955520999999987,4.955684524729343
3.8461286999999986,4.969261473222154
3.9967052999999986,4.979285174963728
4.1472818999999985,4.98557845366645
4.2978584999999985,4.988396129910736
4.448435099999999,4.988596449005413
4.5990117,4.987901417304452
