PC1,PC2,FreeEnergy_kJmol
-3.3583458999999998,-2.7792417,5.0
-3.3583458999999998,-2.6286651,5.0
-3.3583458999999998,-2.4780885,5.0
-3.3583458999999998,-2.3275119,5.0
-3.3583458999999998,-2.1769353000000002,4.99999895160999
-3.3583458999999998,-2.0263587000000003,4.999975428574472
-3.3583458999999998,-1.8757821000000001,4.999848586557171
-3.3583458999999998,-1.7252055000000002,4.999232645405678
-3.3583458999999998,-1.5746289000000002,4.9969850272148255
-3.3583458999999998,-1.4240523000000003,4.990466076448957
-3.3583458999999998,-1.2734757000000003,4.975558430639948
-3.3583458999999998,-1.1228991000000001,4.948294863854036
-3.3583458999999998,-0.9723225000000002,4.9078525736733125
-3.3583458999999998,-0.8217459000000003,4.857733218368161
-3.3583458999999998,-0.6711693000000003,4.803002165070367
-3.3583458999999998,-0.5205927000000004,4.744975329250058
-3.3583458999999998,-0.3700161000000004,4.678892889470784
-3.3583458999999998,-0.21943950000000045,4.599801145600102
-3.3583458999999998,-0.0688629000000005,4.513149498060608
-3.3583458999999998,0.08171369999999945,4.438528992828122
-3.3583458999999998,0.2322902999999994,4.400425287530322
-3.3583458999999998,0.38286689999999934,4.414044962211848
-3.3583458999999998,0.5334434999999993,4.477456256187016
-3.3583458999999998,0.6840200999999995,4.574190336000071
-3.3583458999999998,0.8345966999999996,4.683220685346603
-3.3583458999999998,0.9851732999999996,4.787264313428555
-3.3583458999999998,1.1357498999999995,4.874134677874623
-3.3583458999999998,1.2863264999999995,4.9363312699308
-3.3583458999999998,1.4369030999999994,4.973196371666516
-3.3583458999999998,1.5874796999999994,4.990777607604858
-3.3583458999999998,1.7380562999999993,4.997440259164976
-3.3583458999999998,1.8886328999999993,4.999432485167761
-3.3583458999999998,2.0392094999999992,4.999897051350551
-3.3583458999999998,2.189786099999999,4.999989647949633
-3.3583458999999998,2.340362699999999,4.999999686664861
-3.3583458999999998,2.490939299999999,4.999999951948501
-3.3583458999999998,2.641515899999999,5.0
-3.3583458999999998,2.792092499999999,5.0
-3.3583458999999998,2.942669099999999,5.0
-3.3583458999999998,3.093245699999999,5.0
-3.3583458999999998,3.243822299999999,5.0
-3.3583458999999998,3.3943988999999988,5.0
-3.3583458999999998,3.5449754999999987,5.0
-3.3583458999999998,3.6955520999999987,5.0
-3.3583458999999998,3.8461286999999986,5.0
-3.3583458999999998,3.9967052999999986,5.0
-3.3583458999999998,4.1472818999999985,5.0
-3.3583458999999998,4.2978584999999985,5.0
-3.3583458999999998,4.448435099999999,5.0
-3.3583458999999998,4.5990117,5.0
-3.2240577,-2.7792417,5.0
-3.2240577,-2.6286651,5.0
-3.2240577,-2.4780885,5.0
-3.2240577,-2.3275119,5.0
-3.2240577,-2.1769353000000002,4.999997380778153
-3.2240577,-2.0263587000000003,4.99996353516948
-3.2240577,-1.8757821000000001,4.99978423564577
-3.2240577,-1.7252055000000002,4.998969344054336
-3.2240577,-1.5746289000000002,4.996129985529908
-3.2240577,-1.4240523000000003,4.988318100724728
-3.2240577,-1.2734757000000003,4.97145574271819
-3.2240577,-1.1228991000000001,4.942679001487715
-3.2240577,-0.9723225000000002,4.903373078961642
-3.2240577,-0.8217459000000003,4.858676144682822
-3.2240577,-0.6711693000000003,4.812035740723737
-3.2240577,-0.5205927000000004,4.759220765273314
-3.2240577,-0.3700161000000004,4.689233002669715
-3.2240577,-0.21943950000000045,4.595118962561985
-3.2240577,-0.0688629000000005,4.4867121954165805
-3.2240577,0.08171369999999945,4.391768164314576
-3.2240577,0.2322902999999994,4.341946074300489
-3.2240577,0.38286689999999934,4.3554991544654875
-3.2240577,0.5334434999999993,4.428841422832176
-3.2240577,0.6840200999999995,4.540228248267912
-3.2240577,0.8345966999999996,4.662551436355289
-3.2240577,0.9851732999999996,4.775246878882795
-3.2240577,1.1357498999999995,4.866717681046412
-3.2240577,1.2863264999999995,4.931596110285844
-3.2240577,1.4369030999999994,4.970443538653314
-3.2240577,1.5874796999999994,4.989447440683884
-3.2240577,1.7380562999999993,4.9969219918998915
-3.2240577,1.8886328999999993,4.999270614622198
-3.2240577,2.0392094999999992,4.9998557714680345
-3.2240577,2.189786099999999,4.999980590446675
-3.2240577,2.340362699999999,4.999998620331832
-3.2240577,2.490939299999999,4.999999788421034
-3.2240577,2.641515899999999,5.0
-3.2240577,2.792092499999999,5.0
-3.2240577,2.942669099999999,5.0
-3.2240577,3.093245699999999,5.0
-3.2240577,3.243822299999999,5.0
-3.2240577,3.3943988999999988,5.0
-3.2240577,3.5449754999999987,5.0
-3.2240577,3.6955520999999987,5.0
-3.2240577,3.8461286999999986,5.0
-3.2240577,3.9967052999999986,5.0
-3.2240577,4.1472818999999985,5.0
-3.2240577,4.2978584999999985,5.0
-3.2240577,4.448435099999999,5.0
-3.2240577,4.5990117,5.0
-3.0897695,-2.7792417,5.0
-3.0897695,-2.6286651,5.0
-3.0897695,-2.4780885,5.0
-3.0897695,-2.3275119,5.0
-3.0897695,-2.1769353000000002,4.9999938103671155
-3.0897695,-2.0263587000000003,4.999939749591773
-3.0897695,-1.8757821000000001,4.999659145750144
-3.0897695,-1.7252055000000002,4.998471753758455
-3.0897695,-1.5746289000000002,4.994567449397438
-3.0897695,-1.4240523000000003,4.984512214808499
-3.0897695,-1.2734757000000003,4.964327366588166
-3.0897695,-1.1228991000000001,4.932764910491587
-3.0897695,-0.9723225000000002,4.894107106617719
-3.0897695,-0.8217459000000003,4.855195173508372
-3.0897695,-0.6711693000000003,4.816646460938057
-3.0897695,-0.5205927000000004,4.766508687436438
-3.0897695,-0.3700161000000004,4.685928022695831
-3.0897695,-0.21943950000000045,4.566812557199082
-3.0897695,-0.0688629000000005,4.4270676475203805
-3.0897695,0.08171369999999945,4.306606417777763
-3.0897695,0.2322902999999994,4.245337543720603
-3.0897695,0.38286689999999934,4.262607269402733
-3.0897695,0.5334434999999993,4.350975231109535
-3.0897695,0.6840200999999995,4.482623373429556
-3.0897695,0.8345966999999996,4.62409311602327
-3.0897695,0.9851732999999996,4.750888286572457
-3.0897695,1.1357498999999995,4.85133147774492
-3.0897695,1.2863264999999995,4.922025050422988
-3.0897695,1.4369030999999994,4.964960589299351
-3.0897695,1.5874796999999994,4.986728211668527
-3.0897695,1.7380562999999993,4.9957913111570385
-3.0897695,1.8886328999999993,4.9988833717950385
-3.0897695,2.0392094999999992,4.999746689573469
-3.0897695,2.189786099999999,4.999955175417622
-3.0897695,2.340362699999999,4.99999454330654
-3.0897695,2.490939299999999,4.999999163188956
-3.0897695,2.641515899999999,5.0
-3.0897695,2.792092499999999,5.0
-3.0897695,2.942669099999999,5.0
-3.0897695,3.093245699999999,5.0
-3.0897695,3.243822299999999,5.0
-3.0897695,3.3943988999999988,5.0
-3.0897695,3.5449754999999987,5.0
-3.0897695,3.6955520999999987,5.0
-3.0897695,3.8461286999999986,5.0
-3.0897695,3.9967052999999986,5.0
-3.0897695,4.1472818999999985,5.0
-3.0897695,4.2978584999999985,5.0
-3.0897695,4.448435099999999,5.0
-3.0897695,4.5990117,5.0
-2.9554812999999998,-2.7792417,5.0
-2.9554812999999998,-2.6286651,5.0
-2.9554812999999998,-2.4780885,5.0
-2.9554812999999998,-2.3275119,5.0
-2.9554812999999998,-2.1769353000000002,4.999988448179854
-2.9554812999999998,-2.0263587000000003,4.9999076116298475
-2.9554812999999998,-1.8757821000000001,4.9994946524758594
-2.9554812999999998,-1.7252055000000002,4.997835360379865
-2.9554812999999998,-1.5746289000000002,4.992636634063881
-2.9554812999999998,-1.4240523000000003,4.979957615714229
-2.9554812999999998,-1.2734757000000003,4.9559252468208275
-2.9554812999999998,-1.1228991000000001,4.920583086709524
-2.9554812999999998,-0.9723225000000002,4.879935504222737
-2.9554812999999998,-0.8217459000000003,4.840828266899334
-2.9554812999999998,-0.6711693000000003,4.800530496948782
-2.9554812999999998,-0.5205927000000004,4.741483357820638
-2.9554812999999998,-0.3700161000000004,4.641092837425518
-2.9554812999999998,-0.21943950000000045,4.494190868690516
-2.9554812999999998,-0.0688629000000005,4.3288068930550745
-2.9554812999999998,0.08171369999999945,4.195370938552022
-2.9554812999999998,0.2322902999999994,4.136252211710817
-2.9554812999999998,0.38286689999999934,4.1651636397655505
-2.9554812999999998,0.5334434999999993,4.2686382501438915
-2.9554812999999998,0.6840200999999995,4.416769556726688
-2.9554812999999998,0.8345966999999996,4.5752248720286435
-2.9554812999999998,0.9851732999999996,4.717368355099771
-2.9554812999999998,1.1357498999999995,4.8295718504357
-2.9554812999999998,1.2863264999999995,4.908359145089307
-2.9554812999999998,1.4369030999999994,4.956781156461468
